productcomp,producttype,productspec
marinated meat,meat,marinated
marjoram,marjoram,marjoram
marzipan,marzipan,marzipan
mascarone,mascarpone,mascarpone
mayonnaise,mayonnaise,mayonnaise
meal for weight reduction,meal,for weight reduction
meat and rice and vegetable meal,meat and rice and vegetable,meal
meat ball,meat ball,meat ball
meat meal,meat,meal
meat soup,meat,soup
medlar,medlar,medlar
megrim,megrim,megrim
melon,melon,melon
metapenaeus shrimp,shrimp,metapenaeus
miaze flour,maize,flour
miaze grain,maize,grain
milk chocolate,chocolate,milk
milk protein,milk,protein
milk skimmed powder,milk,skimmed powder
millet,millet,millet
millet flour,millet,flour
millet grain,millet,grain
mint,mint,mint
mirabelle plum,plum,mirabelle
mixed nut,tree nut,tree nut
molasses,molasses,molasses
mollusc,mollusc,mollusc
monofloral honey,honey,monofloral
moose,moose,moose
mortadella,mortadella,mortadella
mozzarella,mozzarella,mozzarella
msm beef,beef,msm
msm chicken,chicken,msm
muffin,muffin,muffin
mufflon fresh meat,mufflon,fresh meat
mulberry,mulberry,mulberry
mullet,mullet,mullet
mullet roe,mullet,roe
mushroom,mushroom,mushroom
muslei,muslei,muslei
mussel,mussel,mussel
mustard sauce,mustard,sauce
mustard seed,mustard,seed
nashi pear,pear,nashi
nectarine,nectarine,nectarine
nigella seed,nigella,seed
nile perch,perch,nile
non fermented infusion tea,tea,infusion non feremented
non fermented tea,tea,non fermented
noodle,noodle,noodle
northern pike,northern pike,northern pike
nougat,nougat,nougat
nut and seed flour,nut and seed,flour
nut mass,nut mass,nut mass
nutmeg seed,nutmeg,seed
oat,oat,oat
oat biscuit,oat,biscuit
oat drink,oat,drink
oat flakes,oat,flakes
oat flour,oat,flour
oat grain,oat,grain
oat groat,oat,groat
oat porridge,oat,porridge
octopus,octopus,octopus
oil and fat for frying,oil and fat,for frying
oilseed,oilseed,oilseed
okra,okra,okra
olive,olive,olive
olive oil,olive,oil
olive pomace oil,olive,pomace  oil
onion,onion,onion
onion bulb,onion bulb,onion bulb
orange,orange,orange
orange jam,orange,jam
orange juice,orange,juice
orange soft drink,orange,soft drink
ostrich egg,ostrich,egg
ovine milk,ovine,milk
oyster,oyster,oyster
pacific herring,herring,pacific
pak choi,pak choi,pak choi
palm kernel for feed,palm,kernel
palm kernel oil,palm,kernel oil
palm oil,palm,oil
pancake,pancake,pancake
pancetta,pancetta,pancetta
pangas catfishes,pangas catfishes,pangas catfishes
papaya,papaya,papaya
paprika powder,paprika,powder
paprika sausage,sausage,paprika
parmigiano reggiano,parmigiano reggiano,parmigiano reggiano
parsley,parsley,parsley
parsley root,parsley,root
parsnip root,parsnip,root
passion fruit,passion fruit,passion fruit
pasta,pasta,pasta
peach,peach,peach
peach juice,peach,juice
peanut,peanut,peanut
peanut butter,peanut,butter
peanut oil,peanut,oil
pear,pear,pear
pear juice,juice,pear
pearl oyster mushroom,mushroom,pearl oyster
peas,peas,peas
peas without pod,peas,without pod
pecan,pecan,pecan
pecorino,pecorino,pecorino
pecorino romano,pecorino romano,pecorino romano
pepper,pepper,pepper
peppermint,peppermint,peppermint
peppermint infusion,peppermint,infusion
peppers,peppers,peppers
perch,perch,perch
pesto,pesto,pesto
pheasant fresh meat,pheasant,fresh meat
pickled or marinated fish,fish,pickled or marinated
pickled or marinated seafood,seafood,pickled or marinated
pickled or marinated vegetable,vegetable,pickled or marinated
pike,pike,pike
pike perch,pike perch,pike perch
pine nut,pine nut,pine nut
pineapple,pineapple,pineapple
pineapple juice,pineapple,juice
pistachios,pistachios,pistachios
pita,pita,pita
pizza,pizza,pizza
plaice,plaice,plaice
plant oil,plant oil,plant oil
plum,plum,plum
pollen,pollen,pollen
polydextrose,polydextrose,polydextrose
polyfloral honey,honey,polyfloral
pomegranate,pomegranate,pomegranate
pomegranate juice,pomegranate,juice
pomelo,pomelo,pomelo
pomfret fish,pomfret fish,pomfret fish
popcorn,popcorn,popcorn
popped cereal,cereal,popped
popped rice,rice,popped
popped wheat,wheat,popped
poppy seed,seed,poppy
porbeagle,porbeagle,porbeagle
pork bacon,pork,bacon
pork cooked cured meat,pork,cooked cured meat
pork cured meat,pork,cured meat
pork fat tissue,pork,fat tissue
pork fresh meat,pig,fresh meat
pork ham,pork,ham
pork heat,pork,heart
pork kidney,pork,kidney
pork liver,pork,liver
pork liver pate,pork,liver pate
pork loaf,pork,loaf
pork minced meat,pork,minced meat
portuguese oyster,oyster,portuguese
potato,potato,potato
potato and rice meal,potato and rice,meal
potato chips,potato chips,potato chips
potato croquette,poatato,croquette
potato meal,potato,meal
potato powder,potato powder,potato powder
potato puree,potato,puree
potato starch,potato,starch
poultry fat tissue,poultry,fat tissue
poultry fresh meat,poultry,fresh meat
poultry liver,poultry,liver
poultry salami,poultry,salami
powder tea,tea,powder
praline,praline,praline
prawn,prawn,prawn
pretzel,pretzel,pretzel
prickly pear,prickly pear,prickly pear
processed fish,fish,pocessed
processed meat,meat,processed
processed olive,olive,processed
processed seafood,seafood,processed
processed tomato,tomato,processed
processed vegetable,vegetable,processed
provolone,provolone,provolone
puffed bread,puffed bread,puffed bread
puffed maize bread,puffed maize bread,puffed maize bread
puffed rice bread,puffed rice bread,puffed rice bread
puffed wheat bread,puffed wheat bread,puffed wheat bread
pumpkin,pumpkin,pumpkin
pumpkin oil,pumpkin,oil
pumpkin seed,pumpkin,seed
quail egg,quail,egg
quali fresh meat,quail,fresh meat
quark,quark,quark
queen scallop,scallop,queen
quince,quince,quince
quinoa grain,quinoa,grain
rabbit fresh meat,rabbit,fresh meat
rabbit liver,rabbit,liver
radicchio,radicchio,radicchio
radish leaf,radish,leaf
rainbow trout,trout,rainbow
raisins,raisins,raisins
rapeseed,rapeseed,rapeseed
rapeseed oil,rapeseed,oil
raspberry,raspberry,raspberry
raspberry infusion leaf,raspberry,infusion leaf
ratites fresh meat,ratites,fresh meat
ready to eat meal,meal,ready to eat
red cabbage,cabbage,red
red lettuce,lettuce,red
red rice,rice,red
red snapper,snapper,red
red wine,wine,red
redcurrant,currant,red
reindeer,reindeer,reindeer
rhubarb,rhubarb,rhubarb
rice,rice,rice
rice and vegetable meal,rice and vegetable,meal
rice flakes,rice,flakes
rice flour,rice,flour
rice grain,rice,grain
rice noodle,rice,noodle
rice porridge,rice,porridge
ricotta,ricotta,ricotta
ripened salami,salami,ripened
rippened soft cheese,cheese,rippened soft
roaches,roaches,roaches
roasted coffee ground,coffee ground,roasted
rock rose infusion leaf,rock rose,infusion leaf
roe deer,roe deer,roe deer
roesti,roesti,roesti
roman rocket,roman rocket,roman rocket
rooibos,rooibos,rooibos
rooibos infusion,rooibos,infusion
roquefort,roquefort,roquefort
rose infusion flower,rose,infusion flower
rosemary,rosemary,rosemary
rosted and decaffeinated coffee,coffee,rosted and decaffeinated
rosted and decaffeinated coffee ground,coffee ground,rosted and decaffeinated
rosted coffee bean,coffee bean,rosted
rrice grain,rice,grain
rum,rum,rum
rusk,rusk,rusk
rye,rye,rye
rye and weat bread,rye and weat bread,rye and weat bread
rye bread,rye bread,rye bread
rye flakes,rye,flakes
rye flour,rye,flour
rye grain,rye,grain
rye groat,rye,groat
safflower seed oil,safflower,seed oil
saffron,saffron,saffron
sage,sage,sage
salad,salad,salad
salami,salami,salami
salmon,salmon,salmon
salt,salt,salt
salted fish,fish,salted
salted seafood,seafood,salted
salted vegetable,vegetable,salted
sangria,sangria,sangria
sant john infusion leaf,sant john,infusion leaf
sardine,sardine,sardine
sardinella,sardinella,sardinella
satsuma,satsuma,satsuma
sauce,sauce,sauce
sauerkraut,sauerkraut,sauerkraut
sausage,sausage,sausage
savoy cabbage,savoy cabbage,savoy cabbage
scallop,scallop,scallop
scamorza,scamorza,scamorza
scones,scones,scones
sea lettuce,sea lettuce,sea lettuce
sea urchin,sea urchin,sea urchin
seabass,seabass,seabass
seasoning,seasoning,seasoning
seed oil,seed,oil
semi hard cheese,cheese,semi hard
semolina,semolina,semolina
sesame seed,sesame,seed
sesame seed oil,sesame,seed oil
shandy,shandy,shandy
shark,shark,shark
sheep fat tissue,sheep,fat tissue
sheep fresh meat,sheep,fresh meat
sheep kidney,sheep,kidney
sheep liver,sheep,liver
sheep milk,sheep,milk
sheep tallow,sheep,tallow
sherry,sherry,sherry
shiitake,shiitake,shiitake
shortcrust,shortcrust,shortcrust
shrimp,shrimp,shrimp
shrimp and prawn,shrimp and prawn,shrimp and prawn
skipjack tuna,tuna,skipjack
sliced cheese,cheese,sliced
smoked fish,fish,smoked
smoked harring,herring,smoked
smoked mackerel,mackerel,smoked
smoked salmon,salmon,smoked
snack,snack,snack
snail,snail,snail
soft candy,candy,soft
soft cheese,cheese,soft
soft drink,soft drink,soft drink
soft drink with caffein,soft drink,with caffein
soft ripened cheese,cheese,soft ripened
sole,sole,sole
sorghum flour,sorghum,flour
sour cherry,sour cherry,sour cherry
sour cherry jam,sour cherry,jam
sour cream,sour cream,sour cream
soy,soy,soy
soy drink,soy,drink
soy meal,soy,meal
soy oil,soy,oil
soy protein,soy,protein
speck,speck,speck
spelt flour,spelt,flour
spelt grain,spelt,grain
spices,spices,spices
spiny dogfish,spiny dogfish,spiny dogfish
spirit,spirit,spirit
spirit from stone fruits,spirit,from stone fruits
spirulina,spirulina,spirulina
sponge biscuit,biscuit,sponge
sprat fish,sprat fish,sprat fish
spread cheese,cheese,spread
spread liver,liver,spread
spring onion,spring onion,spring onion
squid,squid,squid
starchy pudding,starchy pudding,starchy pudding
still natural mineral water,water,still natural mineral
still water,water,still
stock cube,stock cube,stock cube
strawberry,strawberry,strawberry
strawberry infusion leaf,strawberry,infusion leaf
strawberry jam,strawberry,jam
stuffed biscuit,biscuit,stuffed
sturgeon,sturgeon,sturgeon
sugar,sugar,sugar
sugar beet syrup,sugar beet syrup,sugar beet syrup
sugar beetroot,sugar beetroot,sugar beetroot
summer squash,summer squash,summer squash
sunflower seed,sunflower ,seed
sunflower seed oil,sunflower ,seed oil
sweet maize,maize,sweet
sweet pepper,sweet pepper,sweet pepper
sweet potato,sweet potato,sweet potato
swiss chard,swiss chard,swiss chard
swordfish,swordfish,swordfish
syrup,syrup,syrup
tahini,tahini,tahini
tap water,water,tap
tapioca starch,tapioca,starch
tapioca starch snack,tapioca,starch snack
tarragon,tarragon,tarragon
tea beverage,tea beverage,tea beverage
tea leaf,tea,leaf
tea powder extract,tea powder,extract
teff grain,teff,grain
tench,tench,tench
thyme,thyme,thyme
tigernut,tigernut,tigernut
tilapia,tilapia,tilapia
tofu,tofu,tofu
tomato,tomato,tomato
tomato juice,tomato,juice
tomato paste,tomato,paste
tomato sauce,tomato,sauce
tomato soup,tomato,soup
tortilla,tortilla,tortilla
trout,trout,trout
tuna,tuna,tuna
turbot,turbot,turbot
turkey fat tissue,turkey,fat tissue
turkey fresh meat,turkey,fresh meat
turkey liver,turkey,liver
turmenic root,turmenic,root
turmeric root,turmeric root,turmeric root
turnip,turnip,turnip
unleavened bread,unleavened bread,unleavened bread
unsweetened spirit,unsweetened spirit,unsweetened spirit
vegetable,vegetable,vegetable
vegetable juice,vegetable,juice
vegetable meal,meal,vegetable 
vegetable oil,vegetable,oil
vegetable paste,vegetable,paste
vegetable salad,vegetable,salad
vegetable soup,vegetable,soup
vegetable stock cube,vegetable,stock cube
vermouth,vermouth,vermouth
vervain infusion leaf,vervain,infusion leaf
vinegar,vinegar,vinegar
vitamin and mineral supplement,vitamin and mineral,supplement
vodka,vodka,vodka
wafer,wafer,wafer
waffle,waffle,waffle
wakame,wakame,wakame
walnut,walnut,walnut
walnut oil,walnut,oil
water,water,water
water spinach,water spinach,water spinach
watermelon,watermelon,watermelon
watermelon seed,watermelon,seed
welsh onion,onion,welsh
wheat,wheat,wheat
wheat and maize bread,wheat and maize bread,wheat and maize bread
wheat and potato bread,wheat and potato bread,wheat and potato bread
wheat and rye bread,wheat and rye bread,wheat and rye bread
wheat beer,beer,wheat
wheat bran,wheat,bran
wheat bread,wheat bread,wheat bread
wheat coffee,wheat coffee,wheat coffee
wheat crisp bread,wheat crisp bread,wheat crisp bread
wheat flakes,wheat,flackes
wheat flour,wheat,flour
wheat grain,wheat,grain
wheat groat,wheat,groat
wheat semolina,weat,semolina
wheat white flour,wheat,white flour
whey,whey,whey
whey powder,whey,powder
whey protein,whey,protein
whisky,whisky,whisky
white cabbage,cabbage,white
white chocolate,chocolate,white
white pepper,pepper,white
white perch,perch,white
white shrimp,shrimp,white
white tuna,tuna,white
white wine,wine,white
whitefish,whitefish,whitefish
whiting,whiting,whiting
whole milk powder,milk,whole powder
wholemeal oat,oat,wholemeal
wholemeal pasta,pasta,wholemeal
wholemeal rye bread ,rye bread,wholemeal
wholemeal rye crisp bread ,rye crisp bread,wholemeal
wholemeal rye flour,rye,wholemeal flour
wholemeal spelt flour,spelt,wholemeal flour
wholemeal wheat and rye bread,wheat and rye bread,wholemeal
wholemeal wheat biscuit,biscuit,wheat wholemeal
